rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1475186966493565902,,1242,,1475186966,481836547,'',,0,1,37.3939386667,-122.114272,-42.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1475186967493834320,,1243,,1475186967,482110752,'',,0,1,37.393808,-122.114261333,-42.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1475186968473723202,,1244,,1475186968,471026535,'',,0,1,37.39368,-122.114261333,-42.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1475186969493542213,,1245,,1475186969,482026733,'',,0,1,37.3935546667,-122.114261333,-42.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1475186970493489844,,1246,,1475186970,482618114,'',,0,1,37.393432,-122.114261333,-42.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1475186971493529394,,1247,,1475186971,482360796,'',,0,1,37.3933093333,-122.114261333,-42.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1475186972493447899,,1248,,1475186972,481672876,'',,0,1,37.3931893333,-122.114261333,-42.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1475186973493927114,,1249,,1475186973,482193092,'',,0,1,37.3930693333,-122.114261333,-42.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1475186974494878747,,1250,,1475186974,481664087,'',,0,1,37.3929573333,-122.114261333,-42.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1475186975494525623,,1251,,1475186975,493750469,'',,0,1,37.3928453333,-122.114261333,-42.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1475186976494514110,,1252,,1475186976,492955887,'',,0,1,37.392736,-122.114261333,-42.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1475186977494209965,,1253,,1475186977,493407878,'',,0,1,37.392632,-122.114261333,-42.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1475186978494192006,,1254,,1475186978,492863676,'',,0,1,37.3925306667,-122.114261333,-42.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
