rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,front_left,front_right,rear_left,rear_right
1475186965940598889,,2482,,1475186965,940440744,'',253.0,255.0,248.0,244.0
1475186966440594433,,2483,,1475186966,440354983,'',253.0,255.0,248.0,244.0
1475186966940684682,,2484,,1475186966,940461309,'',253.0,255.0,248.0,244.0
1475186967440305612,,2485,,1475186967,440122172,'',253.0,255.0,248.0,244.0
1475186967940618556,,2486,,1475186967,940411216,'',253.0,255.0,248.0,244.0
1475186968440347500,,2487,,1475186968,440140422,'',253.0,255.0,248.0,244.0
1475186968940567701,,2488,,1475186968,940433595,'',253.0,255.0,248.0,244.0
1475186969440187081,,2489,,1475186969,440011857,'',253.0,255.0,248.0,244.0
1475186969940709490,,2490,,1475186969,940504975,'',253.0,255.0,248.0,244.0
1475186970440064125,,2491,,1475186970,439917604,'',253.0,255.0,248.0,244.0
1475186970940444723,,2492,,1475186970,940255144,'',253.0,255.0,248.0,244.0
1475186971440066170,,2493,,1475186971,439906801,'',253.0,255.0,248.0,244.0
1475186971940522309,,2494,,1475186971,940359079,'',253.0,255.0,248.0,244.0
1475186972440153706,,2495,,1475186972,439954897,'',253.0,255.0,248.0,244.0
1475186972940752482,,2496,,1475186972,940522483,'',253.0,255.0,248.0,244.0
1475186973440263326,,2497,,1475186973,440010453,'',253.0,255.0,248.0,244.0
1475186973940559857,,2498,,1475186973,940376002,'',253.0,255.0,248.0,244.0
1475186974440139798,,2499,,1475186974,439975495,'',253.0,255.0,248.0,244.0
1475186974940732407,,2500,,1475186974,940560385,'',253.0,255.0,248.0,244.0
1475186975440345534,,2501,,1475186975,440166952,'',252.0,255.0,248.0,244.0
1475186975940539578,,2502,,1475186975,940357989,'',252.0,255.0,248.0,244.0
1475186976440248932,,2503,,1475186976,440040359,'',252.0,255.0,248.0,244.0
1475186976940536125,,2504,,1475186976,940349334,'',252.0,255.0,248.0,244.0
1475186977440214258,,2505,,1475186977,440037721,'',252.0,255.0,248.0,244.0
1475186977940738633,,2506,,1475186977,940545402,'',252.0,255.0,248.0,244.0
1475186978440236190,,2507,,1475186978,440038797,'',252.0,255.0,248.0,244.0
1475186978940594832,,2508,,1475186978,940402834,'',252.0,255.0,248.0,244.0
1475186979440396436,,2509,,1475186979,440247361,'',252.0,255.0,248.0,244.0
1475186979940847684,,2510,,1475186979,940679258,'',252.0,255.0,248.0,244.0
1475186980440550177,,2511,,1475186980,440333234,'',252.0,255.0,248.0,244.0
1475186980940803953,,2512,,1475186980,940639394,'',252.0,255.0,248.0,244.0
1475186981440309569,,2513,,1475186981,440085768,'',252.0,255.0,248.0,244.0
1475186981940607805,,2514,,1475186981,940395316,'',252.0,255.0,248.0,244.0
1475186982440299669,,2515,,1475186982,440119698,'',252.0,255.0,248.0,244.0
1475186982940672361,,2516,,1475186982,940464995,'',252.0,255.0,248.0,244.0
1475186983440825446,,2517,,1475186983,440624930,'',252.0,255.0,249.0,244.0
1475186983940647356,,2518,,1475186983,940516095,'',252.0,254.0,249.0,244.0
1475186984440381732,,2519,,1475186984,440160739,'',252.0,254.0,249.0,244.0
1475186984940755354,,2520,,1475186984,940503383,'',252.0,254.0,249.0,244.0
1475186985440373197,,2521,,1475186985,440167139,'',252.0,254.0,249.0,244.0
1475186985940935676,,2522,,1475186985,940756983,'',252.0,254.0,249.0,244.0
1475186986440290202,,2523,,1475186986,440137804,'',252.0,254.0,249.0,244.0
1475186986940904922,,2524,,1475186986,940736329,'',252.0,254.0,249.0,244.0
1475186987440330249,,2525,,1475186987,440165311,'',252.0,254.0,249.0,244.0
1475186987940673002,,2526,,1475186987,940500789,'',252.0,254.0,249.0,244.0
1475186988440668115,,2527,,1475186988,440451177,'',252.0,254.0,249.0,244.0
1475186988940733654,,2528,,1475186988,940505204,'',252.0,254.0,249.0,244.0
1475186989440395362,,2529,,1475186989,440204547,'',252.0,254.0,249.0,244.0
1475186989940702526,,2530,,1475186989,940533617,'',252.0,254.0,249.0,244.0
1475186990440469641,,2531,,1475186990,440246327,'',252.0,254.0,249.0,244.0
1475186990940906379,,2532,,1475186990,940739864,'',252.0,254.0,249.0,244.0
1475186991440416765,,2533,,1475186991,440234164,'',252.0,254.0,249.0,244.0
1475186991940668704,,2534,,1475186991,940481335,'',252.0,254.0,249.0,244.0
1475186992440484238,,2535,,1475186992,440267820,'',252.0,254.0,249.0,244.0
1475186992940788675,,2536,,1475186992,940631487,'',252.0,254.0,249.0,244.0
1475186993440632183,,2537,,1475186993,440429292,'',252.0,254.0,249.0,244.0
1475186993940888535,,2538,,1475186993,940760739,'',252.0,254.0,249.0,244.0
1475186994440463604,,2539,,1475186994,440283582,'',252.0,254.0,249.0,244.0
1475186994940691458,,2540,,1475186994,940514250,'',252.0,254.0,249.0,244.0
1475186995440619061,,2541,,1475186995,440444832,'',252.0,254.0,249.0,244.0
1475186995941508814,,2542,,1475186995,941282182,'',252.0,254.0,249.0,244.0
1475186996441239373,,2543,,1475186996,441045634,'',252.0,254.0,249.0,244.0
1475186996940761546,,2544,,1475186996,940587545,'',252.0,254.0,249.0,244.0
1475186997440623188,,2545,,1475186997,440455860,'',252.0,254.0,249.0,244.0
1475186997940759664,,2546,,1475186997,940511683,'',252.0,254.0,249.0,244.0
1475186998440622548,,2547,,1475186998,440407976,'',252.0,254.0,249.0,244.0
1475186998940870144,,2548,,1475186998,940709743,'',252.0,254.0,249.0,244.0
1475186999440437885,,2549,,1475186999,440285195,'',252.0,254.0,249.0,244.0
1475186999940703834,,2550,,1475186999,940508396,'',252.0,254.0,247.0,244.0
1475187000440520290,,2551,,1475187000,440317316,'',252.0,254.0,247.0,244.0
1475187000940774055,,2552,,1475187000,940614997,'',252.0,254.0,247.0,244.0
1475187001440694245,,2553,,1475187001,440486873,'',252.0,254.0,247.0,244.0
1475187001940665584,,2554,,1475187001,940480919,'',252.0,254.0,247.0,244.0
1475187002440216291,,2555,,1475187002,439997021,'',252.0,254.0,247.0,244.0
1475187002940823186,,2556,,1475187002,940561985,'',252.0,254.0,247.0,244.0
